item_id,category,destination,price,duration,description
1,Adventure,Da Lat,193.52,60,"Exciting adventure activity in Da Lat. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
2,Nightlife & Entertainment,Ha Long Bay,475.85,180,"Enjoy vibrant nightlife and entertainment in Ha Long Bay. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
503,Educational,Hoi An,368.68,120,"Educational tour in Hoi An. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
504,Romantic,Hanoi,303.34,60,"Romantic experience in Hanoi. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
505,Sports & Fitness,Da Lat,86.45,480,"Active sports and fitness experience in Da Lat. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
506,Adventure,Ho Chi Minh City,86.44,300,"Exciting adventure activity in Ho Chi Minh City. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
507,Educational,Ha Long Bay,38.46,30,"Educational tour in Ha Long Bay. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
508,Sports & Fitness,Ho Chi Minh City,434.43,120,"Active sports and fitness experience in Ho Chi Minh City. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
509,Adventure,Hoi An,304.55,480,"Exciting adventure activity in Hoi An. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
510,Adventure,Mui Ne,356.96,30,"Exciting adventure activity in Mui Ne. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
511,Art & Craft,Hue,20.09,120,"Creative art and craft workshop in Hue. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
512,Adventure,Can Tho,485.26,480,"Exciting adventure activity in Can Tho. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
513,Nightlife & Entertainment,Phu Quoc,417.9,120,"Enjoy vibrant nightlife and entertainment in Phu Quoc. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
514,Art & Craft,Sapa,114.05,180,"Creative art and craft workshop in Sapa. Discover local arts and crafts traditions, learn traditional techniques, and create your own souvenirs."
515,Sports & Fitness,Phong Nha,99.09,30,"Active sports and fitness experience in Phong Nha. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
516,Sports & Fitness,Phong Nha,99.87,90,"Active sports and fitness experience in Phong Nha. Join group activities, fitness classes, or outdoor sports. Stay fit while exploring beautiful locations."
517,Adventure,Can Tho,159.08,300,"Exciting adventure activity in Can Tho. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
518,Nightlife & Entertainment,Nha Trang,267.13,180,"Enjoy vibrant nightlife and entertainment in Nha Trang. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
519,Family & Kids,Hanoi,221.65,120,Family-friendly activity in Hanoi. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
520,Nightlife & Entertainment,Phong Nha,152.7,240,"Enjoy vibrant nightlife and entertainment in Phong Nha. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
521,Family & Kids,Ho Chi Minh City,309.81,60,Family-friendly activity in Ho Chi Minh City. Safe and fun for all ages with educational elements and interactive experiences. Perfect for creating lasting memories.
522,Adventure,Phu Quoc,78.35,60,"Exciting adventure activity in Phu Quoc. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
523,Nightlife & Entertainment,Nha Trang,153.15,240,"Enjoy vibrant nightlife and entertainment in Nha Trang. Experience local bars, clubs, and cultural shows. Perfect for evening activities and social gatherings."
524,Educational,Mui Ne,189.52,180,"Educational tour in Mui Ne. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
525,Romantic,Phong Nha,233.47,30,"Romantic experience in Phong Nha. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
526,Adventure,Can Tho,394.74,360,"Exciting adventure activity in Can Tho. Experience thrilling adventures including hiking, kayaking, and exploring natural wonders. Perfect for adrenaline seekers and outdoor enthusiasts."
527,Educational,Hue,107.84,60,"Educational tour in Hue. Learn about local culture, history, and traditions through guided tours and interactive experiences. Great for students and curious travelers."
528,Romantic,Cat Ba Island,261.97,300,"Romantic experience in Cat Ba Island. Perfect for couples with intimate settings, beautiful scenery, and special moments. Ideal for honeymoons and anniversaries."
